,day_of_week,time_ranges,frp,x_value,y_value,hc_values
0,Friday,0 - 4:00 UTC,120445.80000000008,4,0,"4,0,120445.80000000008"
1,Friday,4:00 - 8:00 UTC,132562.00000000026,4,1,"4,1,132562.00000000026"
2,Friday,8:00 - 12:00 UTC,0.0,4,2,"4,2,0.0"
3,Friday,12:00 - 16:00 UTC,61968.49999999995,4,3,"4,3,61968.49999999995"
4,Friday,16:00 - 20:00 UTC,3312.100000000001,4,4,"4,4,3312.100000000001"
5,Friday,20:00 - 24:00 UTC,14564.599999999999,4,5,"4,5,14564.599999999999"
6,Monday,0 - 4:00 UTC,150900.5000000004,0,0,"0,0,150900.5000000004"
7,Monday,4:00 - 8:00 UTC,98968.20000000003,0,1,"0,1,98968.20000000003"
8,Monday,8:00 - 12:00 UTC,0.0,0,2,"0,2,0.0"
9,Monday,12:00 - 16:00 UTC,37948.799999999996,0,3,"0,3,37948.799999999996"
10,Monday,16:00 - 20:00 UTC,6500.999999999998,0,4,"0,4,6500.999999999998"
11,Monday,20:00 - 24:00 UTC,3151.599999999999,0,5,"0,5,3151.599999999999"
12,Saturday,0 - 4:00 UTC,88858.10000000005,5,0,"5,0,88858.10000000005"
13,Saturday,4:00 - 8:00 UTC,118087.49999999994,5,1,"5,1,118087.49999999994"
14,Saturday,8:00 - 12:00 UTC,953.3,5,2,"5,2,953.3"
15,Saturday,12:00 - 16:00 UTC,29254.30000000002,5,3,"5,3,29254.30000000002"
16,Saturday,16:00 - 20:00 UTC,5059.400000000004,5,4,"5,4,5059.400000000004"
17,Saturday,20:00 - 24:00 UTC,625.5000000000002,5,5,"5,5,625.5000000000002"
18,Sunday,0 - 4:00 UTC,85944.59999999998,6,0,"6,0,85944.59999999998"
19,Sunday,4:00 - 8:00 UTC,138662.5999999999,6,1,"6,1,138662.5999999999"
20,Sunday,8:00 - 12:00 UTC,0.0,6,2,"6,2,0.0"
21,Sunday,12:00 - 16:00 UTC,35058.700000000004,6,3,"6,3,35058.700000000004"
22,Sunday,16:00 - 20:00 UTC,2465.7,6,4,"6,4,2465.7"
23,Sunday,20:00 - 24:00 UTC,11748.49999999999,6,5,"6,5,11748.49999999999"
24,Thursday,0 - 4:00 UTC,67495.50000000003,3,0,"3,0,67495.50000000003"
25,Thursday,4:00 - 8:00 UTC,138954.19999999992,3,1,"3,1,138954.19999999992"
26,Thursday,8:00 - 12:00 UTC,1124.6999999999998,3,2,"3,2,1124.6999999999998"
27,Thursday,12:00 - 16:00 UTC,17235.300000000007,3,3,"3,3,17235.300000000007"
28,Thursday,16:00 - 20:00 UTC,6101.799999999998,3,4,"3,4,6101.799999999998"
29,Thursday,20:00 - 24:00 UTC,54.7,3,5,"3,5,54.7"
30,Tuesday,0 - 4:00 UTC,88571.60000000014,1,0,"1,0,88571.60000000014"
31,Tuesday,4:00 - 8:00 UTC,118734.29999999987,1,1,"1,1,118734.29999999987"
32,Tuesday,8:00 - 12:00 UTC,0.0,1,2,"1,2,0.0"
33,Tuesday,12:00 - 16:00 UTC,21258.499999999978,1,3,"1,3,21258.499999999978"
34,Tuesday,16:00 - 20:00 UTC,5297.300000000001,1,4,"1,4,5297.300000000001"
35,Tuesday,20:00 - 24:00 UTC,418.29999999999995,1,5,"1,5,418.29999999999995"
36,Wednesday,0 - 4:00 UTC,103880.9000000001,2,0,"2,0,103880.9000000001"
37,Wednesday,4:00 - 8:00 UTC,94323.5999999999,2,1,"2,1,94323.5999999999"
38,Wednesday,8:00 - 12:00 UTC,0.0,2,2,"2,2,0.0"
39,Wednesday,12:00 - 16:00 UTC,15668.00000000001,2,3,"2,3,15668.00000000001"
40,Wednesday,16:00 - 20:00 UTC,3093.8999999999996,2,4,"2,4,3093.8999999999996"
41,Wednesday,20:00 - 24:00 UTC,6553.5,2,5,"2,5,6553.5"
