acq_date,frp
2019-08-01,470.3
2019-08-02,730.3
2019-08-03,610.1
2019-08-04,1336.9
2019-08-05,348.0
2019-08-06,427.6
2019-08-07,377.0
2019-08-08,337.8
2019-08-09,894.3
2019-08-10,778.4
2019-08-11,644.5
2019-08-12,710.8
2019-08-13,1052.7
2019-08-14,269.6
2019-08-15,768.1
2019-08-16,801.4
2019-08-17,236.3
2019-08-18,289.0
2019-08-19,499.1
2019-08-20,1656.7
2019-08-21,841.6
2019-08-22,526.2
2019-08-23,338.3
2019-08-24,337.3
2019-08-25,658.9
2019-08-26,805.7
2019-08-27,368.8
2019-08-28,2129.7
2019-08-29,869.0
2019-08-30,323.3
2019-08-31,602.8
2019-09-01,385.9
2019-09-02,1271.9
2019-09-03,611.4
2019-09-04,534.4
2019-09-05,1431.4
2019-09-06,1411.8
2019-09-07,1158.5
2019-09-08,1010.6
2019-09-09,1201.6
2019-09-10,1114.6
2019-09-11,703.3
2019-09-12,3679.5
2019-09-13,2210.0
2019-09-14,1718.3
2019-09-15,941.0
2019-09-16,2056.7
2019-09-17,774.3
2019-09-18,714.6
2019-09-19,580.6
2019-09-20,1830.7
2019-09-21,343.9
2019-09-22,956.9
2019-09-23,746.8
2019-09-24,693.5
2019-09-25,717.8
2019-09-26,512.0
2019-09-27,599.3
2019-09-28,922.8
2019-09-29,927.3
2019-09-30,1587.2
